label,pattern,attr,replace
odonata,Ceylonosticta tropica,lower,
odonata,Platysticta tropica,lower,Ceylonosticta tropica
odonata,Ceylonosticta venusta,lower,
odonata,Ceylonosticta walli,lower,
odonata,Drepanosticta actaeon,lower,
odonata,Drepanosticta acuta,lower,
odonata,Drepanosticta adenani,lower,
odonata,Drepanosticta amboinensis,lower,
odonata,Drepanosticta anascephala,lower,
odonata,Drepanosticta doisuthepensis,lower,Drepanosticta anascephala
odonata,Drepanosticta annandalei,lower,
odonata,Drepanosticta annulata,lower,
odonata,Platysticta annulata,lower,Drepanosticta annulata
odonata,Drepanosticta antilope,lower,
odonata,Drepanosticta arcuata,lower,
odonata,Drepanosticta aries,lower,
odonata,Drepanosticta asahinai,lower,
odonata,Drepanosticta attala,lower,
odonata,Drepanosticta auriculata,lower,
odonata,Platysticta auriculata,lower,Drepanosticta auriculata
odonata,Drepanosticta aurita,lower,
odonata,Drepanosticta barbatula,lower,
odonata,Drepanosticta bartelsi,lower,
odonata,Drepanosticta batanta,lower,
odonata,Drepanosticta belyshevi,lower,
odonata,Drepanosticta berinchangensis,lower,
odonata,Drepanosticta berlandi,lower,
odonata,Drepanosticta bicolor,lower,
odonata,Drepanosticta bicornuta,lower,
odonata,Platysticta bicornuta,lower,Drepanosticta bicornuta
odonata,Drepanosticta bifida,lower,
odonata,Drepanosticta bispina,lower,
odonata,Drepanosticta brownelli,lower,
odonata,Ceylonosticta brownelli,lower,Drepanosticta brownelli
odonata,Drepanosticta burbachi,lower,
odonata,Drepanosticta carmichaeli,lower,
odonata,Protosticta carmichaeli,lower,Drepanosticta carmichaeli
odonata,Drepanosticta centrosaurus,lower,
odonata,Drepanosticta ceratophora,lower,
odonata,Drepanosticta claaseni,lower,
odonata,Drepanosticta clados,lower,
odonata,Drepanosticta clavata,lower,
odonata,Drepanosticta conica,lower,
odonata,Platysticta conica,lower,Drepanosticta conica
odonata,Drepanosticta crenitis,lower,
odonata,Drepanosticta dendrolagina,lower,
odonata,Drepanosticta dentifera,lower,
odonata,Drepanosticta dorcadion,lower,
odonata,Drepanosticta draco,lower,
odonata,Drepanosticta drusilla,lower,
odonata,Drepanosticta dulitensis,lower,
odonata,Drepanosticta elaphos,lower,
odonata,Drepanosticta elongata,lower,
odonata,Drepanosticta emtrai,lower,
odonata,Drepanosticta ephippiata,lower,
odonata,Drepanosticta eucera,lower,
odonata,Drepanosticta exoleta,lower,
odonata,Drepanosticta flavomaculata,lower,
odonata,Drepanosticta floresiana,lower,
odonata,Drepanosticta fontinalis,lower,
odonata,Drepanosticta forficula,lower,
odonata,Drepanosticta furcata,lower,
odonata,Drepanosticta gazella,lower,
odonata,Drepanosticta gazelle,lower,
odonata,Drepanosticta halmahera,lower,
odonata,Drepanosticta halterata,lower,
odonata,Platysticta halterata,lower,Drepanosticta halterata
odonata,Drepanosticta hamadryas,lower,
odonata,Drepanosticta hamalaineni,lower,
